Number ,Company name,Primary UK SIC (2007) code,"Turnover
th GBP 2012","Turnover
th GBP 2013","Turnover
th GBP 2014","Turnover
th GBP 2015","Turnover
th GBP 2016","Turnover
th GBP 2017","Turnover
th GBP 2018","Turnover
th GBP 2019","Turnover
th GBP 2020","Turnover
th GBP 2021"
31,CHARLES M.WILLIE & CO.(SHIPPING)LIMITED,50200,"27,084","27,171","21,977","20,610","21,997","26,542","27,392","29,322","29,056","38,523"
32,N K MOTORS LIMITED,45111,n.a.,"28,162","21,229","25,486","32,343","40,186","63,405","41,875","37,436","54,412"
33,PORTVIEW HOLDINGS LIMITED,64203,"23,520","32,839","34,653","41,114","40,372","43,097","52,339","49,428","25,041","20,257"
34,MCDERMOTT BUILDING AND CIVIL ENGINEERING LTD,42990,"33,221","35,796","37,741","41,605","46,831","43,984","56,620","47,229","43,455","40,028"
35,APERAM STAINLESS SERVICES & SOLUTIONS UK LIMITED,46760,"15,547","16,093","20,112","16,798","18,864","23,674","30,253","29,329","23,465","36,722"
36,AMIRI CONSTRUCTION LIMITED,41201,"17,342","15,138","24,782","29,039","37,018","24,512","40,250","33,731","29,164","32,930"
37,MUIR CONSTRUCTION LIMITED,41201,"39,192","37,920","47,474","58,320","25,213","39,587","30,641","28,305","36,004","38,917"
38,CHRISTIAN LOUBOUTIN UK LIMITED,47721,"25,653","32,720","38,906","44,254","52,540","52,680","50,151","48,824","33,367","36,046"
39,SINOCHEM RESOURCES UK LIMITED,70100,"136,418","453,038","525,401","210,385","70,528","14,434","54,483","77,845","31,145","53,344"
40,BROKERTEC EUROPE LIMITED,66120,"1,569",135,"7,681","30,729","27,315","37,732","44,155","33,811","37,502","42,252"
41,BRIAN JAMES TRAILERS LIMITED,29202,"8,559","9,575","11,276","13,696","16,296","19,204","21,698","25,870","35,084","39,608"
42,EXELBY SERVICES LIMITED,47300,"34,125","34,109","31,236","36,768","42,493","45,652","50,104","48,373","36,183","52,405"
43,AMER SPORTS UK LIMITED,32300,"70,784","73,527","72,160","78,453","83,000","84,159","78,320","64,089","42,276","52,233"
44,LIBRA SPECIALITY CHEMICALS LIMITED,20411,"16,299","18,346","19,222","20,007","22,931","25,398","26,652","26,078","33,928","38,021"
45,I.F.P. FOREST AND PAPER PRODUCTS (UK) LIMITED,17120,"22,008","26,431","40,486","45,266","44,741","41,812","39,338","30,224","33,454","51,680"
46,URM (UK) LIMITED,38110,"13,533","29,586","36,302","35,228","32,641","31,417","27,503","47,991","44,567","51,419"
47,FRANKLIN TEMPLETON FUND MANAGEMENT LIMITED,64999,"17,998","24,225","19,254","21,003","21,882","22,342","24,911","25,964","25,486","30,581"
48,FLEXIPOL PACKAGING LIMITED,22290,"14,798","14,969",n.a.,"22,550","17,289","18,316","23,159","26,272","24,690","26,982"
49,SAMBRO INTERNATIONAL LIMITED,46499,"29,839","35,013","39,420","57,893","71,009","71,964","60,563","54,194","36,741","51,029"
50,OUTDOOR & SPORTS COMPANY LIMITED,14190,"25,725","39,788","26,878","25,724","26,734","35,339","38,748","40,261","37,738","51,009"
51,HURT PLANT HIRE LTD,43120,"12,288","13,992","17,861","19,450","21,875","25,393","27,783","25,645","18,596","33,803"
52,ADVANCED INNERGY SOLUTIONS LTD,32990,"19,683","16,632","28,994","38,102","37,691","31,144","21,643","26,015","27,791","34,158"
53,ROBERTSON METALS RECYCLING LIMITED,38320,"46,811","41,057","39,152","35,511","26,430","27,314","34,639","36,537","33,896","25,770"
54,YOUR WORLD RECRUITMENT LIMITED,78200,"17,033","26,630","38,203","49,994","55,977","46,657","44,331","42,464","34,025","50,357"
55,UK CABLES LIMITED,46900,"49,477","51,283","41,397","44,760","40,337","45,347","43,422","36,706","35,974","49,975"
56,NASON DAVIS LIMITED,46130,"13,774","15,952","14,753","11,804","11,483","15,153","17,127","18,933","15,146","33,569"
57,CAMTREX LIMITED,46900,"31,229","23,711","23,630","25,714","23,882","32,511","35,210","36,423","30,791","30,851"
58,WARWICK WARD (MACHINERY) LIMITED,33120,"13,630","15,758","20,494","27,399","22,859","27,604","23,994","27,326","23,041","37,105"
59,INTRALOX LIMITED,22290,"20,575","21,212","22,979","23,791","26,818","33,130","32,253","32,735","29,492","49,683"
60,VISION FOR EDUCATION LIMITED,78200,,"21,111","17,560","30,204","30,629","31,787","31,841","35,331","27,900","35,399"
61,REEF ESTATES LIMITED,68100,"18,543","13,332","38,270","9,726","15,064","16,309","15,436","48,006","81,162","30,485"
62,ALVAREZ & MARSAL TAXAND-UK HOLDINGS LIMITED,70229,"9,049","8,066","5,258","5,777","6,095","6,243","9,640","18,027","25,826","49,411"
63,ALVAREZ & MARSAL TAXAND UK LLP,69201,"9,049","8,066","5,258","5,777","6,095","6,243","9,640","18,027","25,826","49,411"
64,COACHMAN CARAVAN COMPANY LIMITED,29203,"23,227","20,553","24,417","27,315","29,507","33,015","36,718","37,029","30,640","65,318"
65,BATEMAN GROUNDWORKS LIMITED,42110,"8,616","10,668","13,691","17,151","16,132","22,853","23,690","31,388","22,861","40,348"
66,THOMAS PANELS & PROFILES LIMITED,43910,"12,348","14,873","20,133","22,122","23,438","27,057","29,164","30,386","33,702","48,340"
67,PENHALIGON'S LIMITED,47750,"10,514","12,624","15,808","18,877","19,756","24,954","31,269","39,989","29,789","48,334"
68,P & A J CATTEE (WHOLESALE) LTD.,46460,"18,449","19,059","24,030","26,578","33,841","30,303","33,553","32,282","41,094","48,281"
69,DAYBREAK FOODS LIMITED,46170,"52,073","49,598","49,269","53,482","42,349","30,290","29,532","33,273","39,780","40,941"
70,HAVAS ENTERTAINMENT LIMITED,73110,"50,587","43,365","43,468","46,391","25,895","40,451","41,371","45,374","35,649","48,050"
71,MAKIN METAL POWDERS (UK) LIMITED,24440,"26,388","23,782","26,461","30,883","21,474","33,431","39,422","33,927","24,193","41,072"
72,PREFERE RESINS UK LIMITED,20590,n.a.,"11,702","36,743","28,419","29,100","38,240","40,946","40,845","33,289","47,879"
73,BROWN & CARROLL (LONDON) LIMITED,43320,"17,917","19,951","37,027","29,063","30,848","42,087","46,590","33,211","36,759","35,391"
74,ENDURA LTD.,14190,"15,909","17,898","21,435","24,095","22,724","25,116","17,109","28,020","36,221","47,847"
75,GRACELANDS LIMITED,42990,"23,745","30,247","33,739","35,830","41,443","50,177","46,559","47,226","45,427","36,349"
76,RON BROOKS (HOLDINGS) LIMITED,45111,"22,652","26,221","25,824","27,003","27,370","29,084","31,623","32,650","29,669","34,201"
77,LIVENT LITHIUM UK LIMITED,20140,"33,560","38,948","29,806","27,725","30,969","44,495","57,391","50,901","40,192","47,673"
78,T.W. WHITE & SONS LIMITED,45111,"21,829","25,690","29,901","30,962","35,949","36,784","42,146","44,684","42,772","37,455"
79,T.W. WHITE & SONS (HOLDINGS) LIMITED,45111,"21,829","25,690","29,901","30,962","35,949","36,784","42,146","44,684","42,772","37,455"
80,PPRO FINANCIAL LTD,64999,,"3,031","7,008","11,161","19,745","26,838","32,119","30,844","38,892","47,359"
81,JOE BROWNS LTD,47910,"20,971","18,550","20,401","25,988","28,072","32,809","36,629","38,222","36,448","39,095"
82,THE AUTHENTIC FOOD COMPANY LIMITED,10850,"39,684","39,907","41,290","49,557","74,422","83,974","125,120","47,190","41,534","47,250"
83,ANIMED DIRECT LIMITED,47910,"3,003","4,866","8,481","10,264","9,793","13,232","19,031","23,633","32,440","42,227"
84,CHRYSTAL PETROLEUM COMPANY LIMITED,46711,"29,702","32,422","33,337","31,625","27,937","32,183","36,159","38,930","33,014","30,022"
85,METROW FOODS (GRAYS) LIMITED,46390,"19,110","20,674","23,927","27,133","31,641","35,642","40,204","46,240","48,009","17,736"
86,UTOPIA TABLEWARE LIMITED,46499,"25,520","27,043","29,424","30,649","31,737","33,741","35,112","37,001","28,392","25,647"
87,KUHN FARM MACHINERY(U.K.)LIMITED,46610,"36,288","32,016","31,472","26,916","26,976","33,643","40,876","43,942","41,281","46,605"
88,CHAP GROUP (ABERDEEN) LTD,41100,"27,663","33,210","27,249","35,396","35,696","39,862","51,347","31,172","29,177","38,911"
89,"TOMY UK CO., LTD.",46499,"39,935","66,525","69,100","49,379","51,961","53,026","43,698","32,050","37,540","42,059"
90,ALVAREZ & MARSAL TRANSACTION ADVISORY GROUP EUROPE LLP,,"5,016","7,280","5,408","6,729","8,727","9,363","14,162","16,830","20,821","46,126"
91,COLLINS SEAFOODS NORTH EAST LIMITED,46380,"46,561","38,816","39,295","47,424","50,257","60,221","30,492","56,312","41,669","45,822"
92,ALLIANCE WINE COMPANY LIMITED,46342,"19,708","21,339","24,741","25,860","25,113","27,006","32,024","32,917","30,546","31,193"
93,FESTO LIMITED,28120,"28,788","31,702","34,126","34,267","34,444","39,272","40,225","40,153","43,174","42,327"
94,SOLSTAD OFFSHORE UK LIMITED,50200,"28,074","33,187","28,072","20,456","13,503","8,260","10,518","13,824","10,164","45,414"
95,TOSHIBA EUROPE LIMITED,72190,"10,061","10,363","10,983","11,752","11,649","10,171","9,417","9,578","10,314","35,962"
96,EXFO EUROPE LIMITED,33200,"40,508","31,666","27,410","27,763","32,406","37,054","38,457","44,342","39,904","29,289"
97,DEWING GRAIN LIMITED,1630,,"39,019","30,304","32,115","36,122","36,331","37,453","45,501","41,448","35,486"
98,LOON FUNG (LONDON) LIMITED,70100,"27,150","26,991","29,409","29,972","29,914","30,545","32,184","34,175","37,422","38,036"
99,DENHOLM SEAFOODS LIMITED,10200,"34,378","33,471","37,417","28,727","33,275","34,428","34,410","45,948","38,604","44,912"
100,SEAFOOD ECOSSE LIMITED,47230,"19,650","21,770","22,270","21,368","32,335","41,125","38,968","36,963","39,459","44,898"
101,LOON FUNG LIMITED,46380,"26,712","26,692","29,088","29,671","29,596","30,257","31,918","33,840","37,094","35,796"
102,FOODNET LIMITED,56290,"19,781","19,842","19,777","19,023","19,471","21,352","25,346","35,269","37,661","36,150"
103,BAKERS (AREA 1) LIMITED,46390,"27,834","29,176","30,692","31,747","36,040","36,346","34,319","38,433","38,386","32,598"
104,BORRAS CONSTRUCTION LTD.,41201,"41,082","35,466","44,769","49,155","51,567","50,964","48,042","56,430","41,811","36,041"
105,IMAGINE COMMUNICATIONS EMEA (UK) LTD.,60100,n.a.,"48,610","56,824","52,671","56,100","50,628","45,027","42,797","38,110","44,603"
106,SWIIS INTERNATIONAL LIMITED,78200,"37,870","35,556","34,288","37,370","43,229","43,192","41,554","41,228","40,524","41,335"
107,S I S (SCIENCE IN SPORT) LIMITED,10860,"6,114","5,522","6,252","9,446","12,554","15,296","18,506","22,381","30,272","44,474"
108,PEDDARS PIGS LIMITED,1460,"7,873","9,390","10,868","11,538","11,596","15,845","20,555","22,859","35,609","38,842"
109,CABLE SERVICES ENTERPRISES LIMITED,46520,"16,342","18,541","24,480","30,049","30,371","36,899","36,017","37,909","38,791","32,468"
110,INDIAN QUEENS POWER LIMITED,35110,"7,800","3,041","2,778","2,405","2,271","3,057","4,063","6,006","5,719","9,428"
111,GOULD PAPER SALES UK LIMITED,46760,"22,675","19,622","18,143","26,930","26,665","29,611","37,347","36,037","28,115","34,407"
112,SIMONA PEAK PIPE SYSTEMS LIMITED,22290,n.a.,"10,398","13,752","15,827","17,177","23,282","23,890","28,928","31,496","31,386"
113,SADIE COLES H Q LIMITED,90040,"21,687","38,834","25,078","32,521","48,043","42,870","36,986","40,032","28,143","32,086"
114,CABLE SERVICES LIMITED,46520,"16,101","18,296","24,172","29,796","30,141","36,685","35,655","37,469","38,312","32,103"
115,WISMETTAC HARRO FOODS LIMITED,56290,"19,294","17,328","18,558","20,582","18,606","31,183","34,336","38,321","28,468","43,752"
116,TRUMPF LIMITED,33200,"43,234","38,683","45,765","46,581","40,780","51,778","46,478","59,780","50,019","40,020"
117,KAMM (HOLDINGS) LIMITED,42220,,"5,206","12,711","21,316","24,399","26,484","33,318","38,052","31,000","43,644"
118,ARISTA NETWORKS UK LTD,62090,"2,456","3,226","4,737","5,409","6,633","38,733","38,170","35,693","34,544","43,621"
119,REDCLIFFE HOMES LIMITED,41202,"8,543","18,664","15,523","22,728","20,815","13,831","26,380","27,514","20,971","30,245"
120,OREGON TIMBER FRAME LTD.,16230,"13,259","13,942","14,979","20,207","21,663","23,745","30,324","14,060","23,019","39,986"
121,RRG (WEST YORKSHIRE) LIMITED,45200,n.a.,"52,608","33,506","34,946","37,030","37,737","40,299","40,283","40,900","35,640"
122,STERIS SOLUTIONS LIMITED,46460,"21,283","18,441","19,552","20,498","19,518","25,845","23,452","34,219","36,628","41,895"
123,COMPELLO SERVICES GROUP LTD,78200,"59,290","65,984","70,450","68,162","64,472","58,315","58,976","65,018","62,883","41,030"
124,BIC U.K. LIMITED,46499,"29,782","31,820","34,099","35,660","38,711","41,407","41,676","42,396","39,519","43,286"
125,MARTIN MATHEW & CO. LIMITED,46380,"28,435","29,981","31,520","34,375","33,754","35,828","38,565","35,908","33,378","31,710"
126,SANDERSON GOVERNMENT AND DEFENCE LIMITED,78200,"7,857","7,823","8,088","10,423","12,486","14,342","14,292","23,522","32,930","37,257"
127,UNDERWOODS ELECTRICAL DISTRIBUTORS LIMITED,46140,"20,568","23,603","25,812","26,815","25,896","26,505","29,059","33,627","34,304","34,484"
128,BLACKMORE VALE FARM CREAM LIMITED,10511,"25,030","27,217","32,385","33,774","29,865","30,862","37,336","36,679","36,208","30,758"
129,SOUTHEAST TRADERS LIMITED,46390,"30,950","32,401","36,168","42,146","39,833","40,901","42,152","40,158","40,916","36,127"
130,ADVANCED LIQUID FEEDS LIMITED,46210,n.a.,"32,853","46,761","44,893","33,042","34,576","39,991","35,672","31,925","35,804"
131,I. W. T. DEESIDE LIMITED,29202,"26,415","24,669","27,626","31,957","33,808","39,747","41,182","35,582","32,906","37,379"
132,ROBA METALS LIMITED,46770,"23,657","31,716","23,368","16,491","14,349","28,259","33,879","28,319","23,771","37,345"
133,RICHARD SANDERS LIMITED,45200,"28,999","36,675","43,359","46,683","48,604","47,471","42,615","39,804","36,560","36,334"
134,BEECHFIELD BRANDS LIMITED,46410,"11,371","14,555","16,538","19,970","24,369","30,839","36,496","39,619","35,154","42,809"
135,SLEAFORD QUALITY FOODS LIMITED,10890,"39,062","36,655","40,118","45,248","50,089","55,141","55,584","56,818","48,919","33,491"
136,BOMAG (GREAT BRITAIN) LIMITED,46630,"19,201","24,453","25,981","35,927","33,082","28,389","34,901","27,172","21,067","37,451"
137,UNITED CAST BAR (UK) LIMITED,24100,"25,485","27,312","26,114","23,225","19,674","23,867","30,296","25,105","17,871","29,182"
138,BEECHFIELD BRANDS HOLDINGS LIMITED,46410,"11,371","14,555","16,538","19,970","24,369","30,839","36,496","39,619","35,154","42,757"
139,O'REILLY'S WHOLESALE LIMITED,46360,n.a.,"43,731","33,211","32,065","17,960","30,588","30,454","30,814","32,405","35,706"
140,BETHELL CONSTRUCTION LIMITED,42990,"17,424","13,015","12,443","22,895","20,685","21,393","28,980","23,177","29,669","27,449"
141,THE PROFESSIONAL DARTS CORPORATION LIMITED,93199,"15,174","13,012","15,497","19,528","23,421","28,276","34,615","37,545","31,897","27,880"
142,STAR TISSUE UK LIMITED,17120,,"9,799","13,735","15,933","17,508","19,612","24,410","29,367","28,890","28,811"
143,CALJAN LIMITED,33190,,"10,456","7,620","8,207","13,535","18,066","12,608","14,656","29,556","42,541"
144,CLAAS WESTERN LTD,47990,"34,950","34,685","37,661","28,862","32,831","34,657","42,372","39,694","36,091","39,092"
145,M L ACCESSORIES LIMITED,96090,"12,441","16,251","20,618","25,428","30,362","32,205","31,402","29,565","31,990","41,005"
146,VENNER SHIPLEY LLP,69102,"17,985","20,477","20,248","20,709","22,650","25,888","29,046","31,557","33,656","38,291"
147,SPECIALIST HOLIDAYS (TRAVEL) LIMITED,79110,"99,708","101,512","88,472","86,023","84,050","80,020","73,412","57,962","8,926","4,292"
148,GRANGE MOTORS (SWINDON) LIMITED,45200,"9,120","10,470","10,929","18,188","48,661","54,405","50,412","57,403","46,882","42,356"
149,ARDEVORA ASSET MANAGEMENT LLP,66190,245,"1,399","3,161","5,751","10,329","23,747","27,671","29,507","30,200","38,960"
150,FANUC UK LIMITED,28990,"15,526","19,813","16,479","49,367","40,130","36,773","46,477","52,119","50,691","42,470"
151,VASCROFT CONTRACTORS LIMITED,41201,"50,317","44,293","39,636","41,254","51,009","38,480","45,020","87,052","52,133","48,021"
152,SERE LIMITED,82990,"28,808","28,992","30,941","39,060","44,601","48,537","52,487","49,547","41,550","42,325"
153,MIDLAND CHILLED FOODS LIMITED,46390,"50,894","50,043","53,140","54,897","53,665","56,087","36,182","51,830","38,004","42,322"
154,A.C. ENTERTAINMENT TECHNOLOGIES LIMITED,46900,"26,074","22,886","24,066","24,516","33,024","27,690","33,308","29,905","34,350","13,712"
155,DESMOND MOTORS LIMITED,45111,"40,553","44,960","44,330","39,519","44,602","47,609","48,205","46,603","38,782","42,307"
156,LONGCLIFFE QUARRIES LIMITED,8110,"21,441","21,347","21,885","26,153","28,354","30,112","30,902","33,835","35,483","36,193"
157,CORY BROTHERS LIMITED,52290,"29,650","29,679","30,906","34,555","25,073","23,556","22,875","21,849","21,227","18,794"
158,VISA PAYMENTS LIMITED,64999,"3,017","4,143","10,820","19,267","22,772","30,305","31,857","35,780","29,960","31,564"
159,288 GROUP LIMITED,47910,"26,061","30,757","27,515","26,796","28,759","35,194","39,346","40,712","42,835","43,807"
160,SHARPAK BRIDGWATER LIMITED,22220,"37,366","34,470","31,402","30,128","33,373","39,185","45,103","42,691","39,422","42,223"
161,PACIFIC NUCLEAR TRANSPORT LIMITED,50200,"35,710","26,220","29,988","26,355","35,097","32,506","34,155","29,341","27,318","27,269"
162,R.HANNAH & SONS LIMITED,46320,"15,218","17,305","18,290","21,052","23,339","24,693","26,273","27,127","30,851","32,204"
163,HANNAH HOLDINGS LIMITED,46320,"15,218","17,305","18,290","21,052","23,339","24,693","26,273","27,127","30,851","32,204"
164,HARTING LIMITED,33140,"15,833","16,090","15,973","16,212","17,104","22,951","26,245","23,560","23,342","32,017"
165,FASTHOSTS INTERNET LIMITED,62090,"36,696","37,531","38,310","38,892","39,564","40,847","40,059","40,072","40,298","42,142"
166,SCOTIA HOMES LIMITED,68100,"21,165","32,914","42,013","41,040","57,995","37,208","37,178","39,471","43,863","28,787"
167,PROPER MUSIC GROUP LTD,93290,"26,686","27,473","19,595","21,640","21,208","26,451","23,875","25,872","33,558","38,111"
168,KENWOOD TRAVEL LIMITED,79120,"31,437","41,611","50,375","52,179","67,604","70,582","71,793","73,042","68,157","6,644"
169,RODO LIMITED,46760,"20,301","22,799","24,973","28,396","30,981","32,345","32,887","35,788","37,748","40,466"
170,DISTINCTION DOORS LIMITED,46130,"29,007","33,346","36,051","39,083","43,190","40,637","41,401","37,898","31,143","42,112"
171,TENNENT'S NI LIMITED,46342,"64,241","58,068","51,349","53,055","58,749","52,407","47,195","49,656",46,"23,119"
172,CEVA ANIMAL HEALTH LIMITED,75000,"17,251","16,992","21,024","18,534","24,860","29,042","34,330","39,411","30,407","42,103"
173,SELLARS AGRICULTURE LIMITED,46610,"36,236","31,884","33,916","27,405","23,750","25,526","30,501","37,829","38,723","42,100"
174,FIBREFAB LIMITED,46520,"17,771",n.a.,"25,597","23,736","23,631","28,161","35,084","30,869","27,803","41,514"
175,ALVAREZ & MARSAL GFD-EUROPE HOLDINGS LIMITED,70229,"17,256","25,982","25,659","26,683","20,826","24,960","19,427","15,688","25,259","42,068"
176,ALVAREZ & MARSAL DISPUTES AND INVESTIGATIONS LLP,70229,"12,555","20,489","20,050","18,430","15,836","21,350","14,215","15,688","25,259","42,068"
177,TOPPS EUROPE LIMITED,18129,"47,719","45,095","41,434","48,761","48,663","35,799","27,546","24,261",n.a.,"19,715"
178,PROPER MUSIC DISTRIBUTION LIMITED,46431,"26,858","26,835","18,889","21,225","20,976","25,686","23,512","25,665","33,380","37,977"
179,IGT UK INTERACTIVE LIMITED,82990,"14,193","13,975","21,281","19,661","51,023","47,963","51,914","45,358","42,472","42,034"
180,READYPOWER RAIL SERVICES LIMITED,77320,"11,157","14,279","22,013","23,857","27,374","32,112","39,886","40,307","39,082","40,651"
181,CLARIOS UK LIMITED,45310,"56,007","62,532","47,057","48,911","39,959","44,700","48,417","37,481","36,566","41,999"
182,THEBIGWORD INTERPRETING SERVICES LIMITED,74300,"12,009","15,369","17,765","17,850","15,317","31,132","45,102","29,352","35,156","41,983"
183,COUNTY TYRE (HOLDINGS) LIMITED(THE),45310,"48,137","37,181","41,160","37,299","35,779","39,122","41,030","40,068","35,251","41,935"
184,SEAN WARD (FISH EXPORTS) LIMITED,47230,"32,616","36,330","37,474","32,026","39,708","40,638","44,999","48,056","50,922","41,889"
185,WIGMORE MEDICAL LIMITED,47730,"22,075","23,917","26,387","29,619","37,754","42,852","45,075","47,183","41,250","41,885"
186,BOBBY'S FOODS LIMITED,56290,"34,176","32,351","31,571","32,647","29,802","22,579","23,867","36,635","37,399","41,880"
187,TRIGON GROUP LIMITED,45320,"22,135","24,134","24,942","24,038","24,149","28,023","31,730","32,760","32,702","38,690"
188,NIKO (INT) LIMITED,22290,"22,683","8,970","14,156","21,193","27,996","28,172","25,501","38,654","34,964","41,851"
189,OPTIMISE MEDIA (UK) LIMITED,62090,"22,356","24,951","23,367","20,742","25,280","31,172","30,409","31,310","34,104","33,363"
190,INEOS MANUFACTURING (HULL) LIMITED,20140,"42,887","39,313","20,319","19,562","29,144","20,026","26,732","23,105","28,155","41,827"
191,BGF SERVICES LTD,64303,"13,027","15,852","20,267","23,967","26,998","30,199","35,500","37,236","38,726","41,804"
192,FIREANGEL SAFETY TECHNOLOGY LIMITED,82990,"35,904","45,217","63,887","85,395","53,400","51,241","35,936","43,800","37,599","41,795"
193,WEG (UK) LTD,46690,"31,878","31,020","28,591","28,411","28,480","29,817","34,183","32,346","30,406","30,917"
194,DOHERTY & GRAY LIMITED,10110,"31,926","32,768","34,978","37,690","39,589","38,681","37,658","34,740","34,036","34,361"
195,HUMAX ELECTRONICS CO. LTD,96090,"95,276","129,676","93,083","108,589","95,403","123,989","73,644","78,506","70,169","41,717"
196,ALLAN SICHEL LIMITED,64204,"36,777","40,557","31,239","33,791","38,593","43,226","48,535","39,677","33,731","41,710"
197,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,84120,"50,527","46,487","40,958","41,498","38,230","34,610","36,836","37,995","40,288","39,617"
198,P R MARRIOTT DRILLING LIMITED,43130,"17,887","18,490","26,212","19,074","10,526","15,804","7,695","38,428","33,226","41,673"
199,TFX GROUP LIMITED,32990,"20,142","23,999","28,527","29,572","29,763","31,710","39,228","39,328","41,925","41,672"
200,M.P.I. LIMITED,78200,"25,793","36,115","38,446","40,436","55,497","54,645","58,972","52,193","37,622","41,669"
201,M.P.I. (HERTS) LIMITED,78200,"50,474","62,045","61,138","60,136","55,497","54,645","58,972","52,193","37,622","41,669"
202,W W GILES (SMITHFIELD) LIMITED,46320,"41,423","44,354","48,561","38,654","40,083","36,651","42,039","43,179","35,524","41,664"
203,BUFA COMPOSITES UK LTD.,46180,"13,799","14,784","16,014","18,168","20,008","24,994","28,028","29,567","31,922","41,657"
204,STEM LEARNING LIMITED,85600,"15,860","17,266","13,271","11,447","11,185","16,489","18,370","25,059","30,153","32,523"
205,COLORMATRIX EUROPE LIMITED,20120,"33,055","43,138","33,930","31,268","38,728","37,419","43,582","46,116","43,542","41,647"
206,"ANGELO, GORDON EUROPE SERVICES LTD.",64205,"6,539","12,109","13,575","14,362","21,062","21,077","22,401","26,309","24,092","41,647"
