Number,Company name,Primary UK SIC (2007) code,"Turnover
th GBP 2012","Turnover
th GBP 2013","Turnover
th GBP 2014","Turnover
th GBP 2015","Turnover
th GBP 2016","Turnover
th GBP 2017","Turnover
th GBP 2018","Turnover
th GBP 2019","Turnover
th GBP 2020","Turnover
th GBP 2021"
19,SAINSBURY'S SUPERMARKETS LTD,47110,"22,288,000","23,290,000","23,919,000","23,443,000","23,168,000","23,234,000","23,606,000","24,030,000","24,059,000","23,823,000"
20,CENTRICA PLC,35220,"23,942,000","26,571,000","29,408,000","27,971,000","27,102,000","28,023,000","29,686,000","22,674,000","12,249,000","14,744,000"
21,ASDA GROUP LIMITED,70100,"22,843,400","23,325,200","23,232,400","22,374,800","21,666,300","22,219,800","22,916,500","22,899,200","22,759,700","23,488,500"
22,ASDA STORES LIMITED,47190,"22,813,900","23,299,400","23,156,700","22,066,000","21,408,500","21,951,800","22,842,800","22,874,700","22,743,700","23,473,900"
23,LLOYDS BANK PLC,64191,"55,410,000","52,594,000","40,761,000","31,031,000","20,900,000","21,865,000","21,664,000","21,513,000","18,590,000","17,499,000"
24,BAE SYSTEMS PLC,30300,"16,620,000","16,864,000","15,430,000","16,787,000","17,790,000","18,322,000","16,821,000","18,305,000","19,277,000","19,521,000"
25,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,61900,"18,897,000","18,017,000","18,287,000","17,979,000","19,042,000","24,062,000","23,723,000","23,428,000","22,905,000","21,331,000"
26,BT GROUP PLC,61900,"19,307,000","18,253,000","18,287,000","17,979,000","19,042,000","24,062,000","23,723,000","23,428,000","22,905,000","21,331,000"
27,WM MORRISON SUPERMARKETS LIMITED,47110,"17,663,000","18,116,000","17,680,000","16,816,000","16,122,000","16,317,000","17,262,000","17,735,000","17,536,000","13,483,000"
28,NATIONAL GRID PLC,46719,"13,832,000","14,359,000","14,809,000","15,201,000","15,115,000","15,035,000","15,250,000","14,933,000","14,540,000","14,779,000"
29,JAGUAR LAND ROVER AUTOMOTIVE PLC,70100,"13,511,700","15,783,700","19,386,000","21,866,000","22,208,000","24,339,000","25,786,000","24,214,000","22,984,000","19,731,000"
30,LLOYDS BANKING GROUP PLC,64110,"54,804,000","53,195,000","40,154,000","29,373,000","48,313,000","40,713,000","37,081,000","50,387,000","33,872,000","37,444,000"
31,DCC PUBLIC LIMITED COMPANY,70100,"8,918,744","10,979,561","11,221,593","10,656,803","10,580,475","12,342,300","14,232,528","15,152,178","15,171,371","13,424,424"
32,WITTINGTON INVESTMENTS LIMITED,10890,"12,350,000","13,417,000","13,063,000","12,943,000","13,555,000","15,526,000","15,771,000","16,025,000","14,133,000","14,079,000"
33,ASSOCIATED BRITISH FOODS PLC,46390,"12,252,000","13,315,000","12,943,000","12,800,000","13,399,000","15,357,000","15,574,000","15,824,000","13,937,000","13,884,000"
34,AVIVA PLC,65120,"21,157,000","20,623,000","20,057,000","18,924,000","22,868,000","25,224,000","26,252,000","27,471,000","25,254,000","33,184,000"
35,JOHNSON MATTHEY PLC,24410,"12,023,200","10,728,800","11,155,200","10,059,700","10,713,900","12,031,000","14,122,000","10,745,000","14,577,000","15,673,000"
36,GREENERGY FUELS HOLDINGS LIMITED,82990,"11,934,667","14,572,809","15,693,024","14,103,958","13,672,479","11,158,397","16,836,382","15,924,815","11,485,454","15,552,612"
37,DIAGEO PLC,11010,"10,762,000","11,433,000","13,980,000","15,966,000","15,641,000","18,114,000","18,432,000","19,294,000","11,752,000","12,733,000"
38,JAGUAR LAND ROVER LIMITED,29100,"3,862,500","7,214,300","15,693,600","17,738,000","19,079,000","20,862,000","21,945,000","20,870,000","19,849,000","16,473,000"
39,INEOS INDUSTRIES LIMITED,20160,,"837,854","1,143,799","4,343,295","4,592,608","5,999,467","7,433,791","5,868,748","4,766,724","14,830,140"
40,RECKITT BENCKISER GROUP PLC,17220,"9,567,000","10,043,000","8,836,000","8,874,000","9,891,000","11,512,000","12,597,000","12,846,000","13,993,000","13,234,000"
41,WPP PLC,73110,n.a.,"11,019,400","11,528,900","12,235,200","14,388,900","15,265,400","15,602,400","13,234,100","12,002,800","12,801,100"
42,ALDI STORES LIMITED,47110,"3,885,278","5,271,853","6,893,257","7,705,140","8,744,385","10,181,049","11,334,428","12,279,961","13,530,861","13,645,779"
43,ROLLS-ROYCE PLC,28110,"12,161,000","15,513,000","13,736,000","13,725,000","14,955,000","16,307,000","15,729,000","16,587,000","11,824,000","11,218,000"
44,ROLLS-ROYCE HOLDINGS PLC,30300,"12,161,000","15,513,000","13,736,000","13,725,000","14,955,000","16,307,000","15,729,000","16,587,000","11,824,000","11,218,000"
45,KINGFISHER PLC,47520,"10,831,000","10,573,000","11,125,000","10,966,000","10,441,000","11,225,000","11,655,000","11,685,000","11,513,000","12,343,000"
46,PHILLIPS 66 LIMITED,19201,"21,657,000","18,405,800","14,821,138","8,065,502","8,465,067","8,652,566","12,929,467","11,535,273","7,235,600","13,113,180"
47,WPP JUBILEE LIMITED,70100,n.a.,"11,019,400","11,528,900","12,235,200","14,388,900","15,265,400","15,602,400","13,234,100","12,002,800","12,801,100"
48,BUNZL PUBLIC LIMITED COMPANY,52243,"5,359,200","6,097,700","6,156,500","6,489,700","7,429,100","8,580,900","9,079,400","9,326,700","10,111,100","10,285,100"
49,CHANEL LIMITED,46420,"381,300","440,700","459,400","465,200","721,916","7,116,847","8,713,871","9,250,301","7,398,375","11,553,635"
50,SMURFIT KAPPA GROUP PUBLIC LIMITED COMPANY,70100,"6,132,952","6,663,529","6,287,528","5,957,398","6,991,057","7,599,748","8,068,354","7,746,463","7,799,665","8,521,060"
51,CISCO INTERNATIONAL LIMITED,62090,"5,078,013","5,167,329","4,780,467","6,289,096","8,937,448","8,782,826","9,161,657","10,631,337","9,661,507","9,785,933"
52,BRITISH AIRWAYS PLC,51101,"10,827,000","11,421,000","11,719,000","11,333,000","11,443,000","12,226,000","13,021,000","13,290,000","4,001,000","3,693,000"
53,JOHN LEWIS PLC,47190,"7,758,600","8,465,500","9,027,800","9,701,000","9,748,800","10,026,200","10,204,000","10,316,700","10,151,300","10,771,800"
54,JOHN LEWIS PARTNERSHIP PLC,47190,"7,758,600","8,465,500","9,027,800","9,701,000","9,748,800","10,026,200","10,204,000","10,316,700","10,151,300","10,771,800"
55,TRANE TECHNOLOGIES PUBLIC LIMITED COMPANY,70100,"7,973,607","9,367,684","9,177,391","8,291,725","10,966,491","11,337,092","11,900,243","9,541,063","11,632,108","10,475,685"
56,ASTRAZENECA UK LIMITED,70100,"5,527,000","4,471,000","4,178,000","5,091,000","6,851,000","5,392,000","6,803,000","7,950,000","9,350,000","10,303,000"
57,GOLDMAN SACHS INTERNATIONAL,64999,"3,431,616","3,113,378","3,782,853","4,752,422","5,307,992","4,812,898","6,160,232","6,257,536","7,327,088","8,432,329"
58,EVRAZ PLC,24100,"9,059,000","8,701,000","8,376,000","5,938,000","6,251,000","8,007,000","10,060,000","8,973,000","7,139,000","9,963,000"
59,SKY UK LIMITED,59113,"6,548,000","6,985,000","7,320,000","7,530,000","7,792,000","7,925,000","8,030,000","13,857,000","9,006,000","9,815,000"
60,J.P. MORGAN CAPITAL HOLDINGS LIMITED,64209,"6,316,826","5,980,197","6,171,359","6,623,315","8,551,629","9,770,744","12,003,135","7,291,981","10,045,378","9,630,615"
61,NETWORK RAIL INFRASTRUCTURE LIMITED,41100,"6,004,000","6,221,000","6,353,000","6,113,000","6,138,000","6,252,000","6,587,000","6,660,000","8,099,000","9,618,000"
62,NETWORK RAIL LIMITED,49100,"6,004,000","6,197,000","6,333,000","6,087,000","6,098,000","6,259,000","6,580,000","6,676,000","8,099,000","9,618,000"
63,VOLKSWAGEN GROUP UNITED KINGDOM LIMITED,45111,"6,667,600","7,619,500","8,868,400","9,430,300","9,792,900","10,412,700","9,921,900","10,225,600","8,314,700","9,448,700"
64,FORD MOTOR COMPANY LIMITED,29100,"8,319,000","9,248,000","10,323,000","11,153,000","11,810,000","12,863,000","12,909,000","12,995,000","8,792,000","9,303,000"
65,BRITISH UNITED PROVIDENT ASSOCIATION LIMITED(THE),86900,"6,663,600","6,858,700","7,050,300","9,828,400","11,047,900","8,856,600","8,728,000","12,316,000","8,813,000","9,125,000"
66,BUPA FINANCE PLC.,82990,"6,663,600","9,058,700","7,050,300","7,010,400","7,990,400","8,856,600","11,859,000","12,316,000","8,813,000","9,125,000"
67,BRITISH GAS TRADING LIMITED,35220,"14,355,343","15,315,500","11,089,100","10,635,400","9,650,300","8,911,100","8,741,800","8,907,900","8,285,900","9,032,000"
68,BANK OF SCOTLAND PLC,64191,"16,533,000","15,227,000","13,192,000","11,305,000","10,576,000","9,882,000","9,278,000","9,505,000","7,773,000","7,938,000"
69,TATA STEEL EUROPE LIMITED,70100,"10,111,000","8,706,000","8,556,000","7,879,000","6,762,000","5,931,000","6,988,000","7,070,000","6,202,000","5,773,000"
70,EDF ENERGY HOLDINGS LIMITED,70100,"7,960,000","8,311,000","8,159,000","8,440,000","7,588,000","7,520,000","7,737,000","8,172,000","8,074,000","8,720,000"
71,SSE PLC,84130,"31,723,900","28,304,600","30,585,000","31,654,400","28,781,300","29,037,900","31,226,400","7,331,600","6,800,600","6,826,400"
72,LEGAL & GENERAL GROUP PLC,65120,"4,925,000","5,270,000","9,047,000","4,739,000","8,756,000","6,051,000","11,103,000","11,685,000","9,370,000","45,450,000"
73,ROYAL MAIL GROUP LIMITED,53100,"7,167,000","7,758,000","7,782,000","7,772,000","7,675,000","7,651,000","7,608,000","7,748,000","7,734,000","8,658,000"
74,SCOTTISH POWER UK PLC,70100,"7,803,100","8,230,700","7,107,400","6,590,400","5,422,500","5,239,100","4,993,700","5,124,500","5,164,000","5,349,700"
75,COGNIZANT WORLDWIDE LIMITED,62020,"481,017","605,398","679,026","792,733","913,302","1,523,078","3,761,690","5,354,616","6,621,079","8,297,627"
76,INCHCAPE PLC,45111,"6,085,400","6,524,900","6,702,700","6,836,300","7,838,400","8,949,200","9,277,000","9,379,700","6,837,800","7,640,100"
77,ESSAR ENERGY LIMITED,71122,"13,741,833","17,893,849","15,513,916","16,394,382","10,890,821","6,460,747","4,271,016","6,468,390","7,026,014","4,173,743"
78,EDF ENERGY CUSTOMERS LIMITED,35130,"5,813,200","6,306,700","6,442,900","6,372,800","5,971,300","6,041,800","6,602,500","7,201,100","6,838,000","7,927,000"
79,MONDI PLC,17211,"4,710,000","5,388,000","4,968,000","5,019,000","5,699,000","6,308,000","6,716,000","6,150,000","5,963,000","6,491,000"
80,LIDL GREAT BRITAIN LIMITED,47110,"202,670","212,216","245,300","296,315","344,176","418,630","474,555","553,809","6,885,113","7,710,434"
81,DRAX GROUP PLC,35110,"1,779,800","2,062,100","2,805,000","3,065,000","2,949,800","3,685,200","4,229,000","4,713,400","4,244,700","5,088,000"
82,ORACLE EMEA LIMITED,26200,"5,634,059","6,194,671","6,359,105","5,858,233","6,683,674","7,443,007","6,642,293","6,573,552","6,975,035","7,175,785"
83,LONDON STOCK EXCHANGE GROUP PLC,66110,"679,800","726,400","971,400","1,418,600","1,657,100","1,955,000","2,135,000","2,314,000","2,124,000","6,740,000"
84,FLUTTER ENTERTAINMENT PUBLIC LIMITED COMPANY,59,"546,615","624,058","685,802","803,687","1,503,172","1,743,482","1,882,155","2,165,168","4,509,479","6,054,765"
85,BALFOUR BEATTY PLC,41100,"9,483,000","8,745,000","7,264,000","6,955,000","6,923,000","6,916,000","6,634,000","7,313,000","7,320,000","7,185,000"
86,DS SMITH PLC,47789,"1,969,400","3,669,300","4,035,000","3,820,000","4,066,000","4,781,000","5,765,000","6,171,000","6,043,000","5,976,000"
87,STANDARD CHARTERED PLC,64191,"16,497,078","15,512,890","15,896,235","14,208,494","15,979,899","15,610,856","18,649,687","18,757,914","15,296,055","5,839,000"
88,INTERNATIONAL CONSOLIDATED AIRLINES GROUP,51101,"14,693,000","15,448,000","15,653,000","16,051,000","19,306,000","20,421,000","21,910,000","21,584,000","6,986,000","7,106,000"
89,EE LIMITED,61900,"6,657,000","6,482,000","6,327,000","6,311,000",n.a.,"7,991,000","6,747,000","7,149,000","7,264,000","6,971,000"
90,SONY INTERACTIVE ENTERTAINMENT EUROPE LIMITED,62090,"2,303,521","1,995,032","2,185,258","2,706,721","3,284,908","4,181,068","4,911,310","5,501,326","5,023,357","6,199,796"
91,WILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,6499,"2,314,603","2,798,815","2,631,236","2,365,733","5,796,574","6,532,966","6,576,962","6,595,467","8,046,008","6,667,908"
92,HAYS PLC,78109,"3,654,600","3,696,900","3,678,500","3,842,800","4,231,400","5,081,000","5,753,300","6,070,500","5,929,500","5,648,400"
93,COMPUTACENTER PLC,62020,"2,914,214","3,072,075","3,107,759","3,057,615","3,245,397","3,793,371","4,352,470","5,052,779","5,441,258","6,725,800"
94,EASYJET AIRLINE COMPANY LIMITED,51101,"3,890,000","4,302,000","4,569,000","4,736,000","4,728,000","5,122,000","6,234,000","7,325,000","4,068,000","2,344,000"
95,ASHTEAD GROUP PUBLIC LIMITED COMPANY,77390,"1,134,600","1,361,900","1,634,700","2,038,900","2,545,700","3,186,800","3,706,000","4,499,600","5,053,600","5,031,100"
96,SEFE MARKETING & TRADING LIMITED,35230,"2,863,991","3,046,045","3,680,736","2,481,199","1,995,224","2,346,684","3,262,720","3,071,564","2,616,966","6,291,535"
97,MICROSOFT LIMITED,62020,"718,262","860,174","915,607","969,320","956,055","1,121,044","2,138,090","2,846,680","4,032,011","4,861,627"
98,"ESSO PETROLEUM COMPANY,LIMITED",6100,"11,670,000","10,106,000","8,782,000","5,537,000","4,882,000","6,383,000","7,831,000","7,468,000","4,226,000","6,268,000"
99,BAE SYSTEMS (OPERATIONS) LIMITED,30300,"4,932,000","5,988,000","5,571,000","6,386,000","6,721,000","6,501,000","5,012,000","5,584,000","6,062,000","6,253,000"
100,BARCLAYS EXECUTION SERVICES LIMITED,82990,"3,912,974","4,204,904","3,843,984","3,924,342","4,135,504","4,566,518","5,333,378","5,671,153","5,442,011","5,831,559"
101,KERRY GROUP PUBLIC LIMITED COMPANY,66120,"4,889,890","4,887,900","4,477,890","4,485,056","5,253,018","5,687,739","5,959,363","6,199,654","6,358,053","6,197,181"
102,EDF ENERGY LIMITED,35110,"4,594,600","5,626,800","5,678,100","7,600,800","6,191,900","5,393,300","5,521,400","5,902,200","5,750,000","6,151,000"
103,AMAZON UK SERVICES LTD.,82990,"320,152","449,118","679,111","946,458","1,462,008","1,987,697","2,345,057","2,959,248","4,846,918","6,092,210"
104,GALLAHER LIMITED,12000,"4,740,000","4,797,000","4,830,000","4,857,900","4,827,000","4,598,800","4,743,300","4,841,700","5,539,200","5,963,700"
105,SYTNER GROUP LIMITED,70100,"2,967,035","3,220,886","3,665,451","4,234,417","4,811,947","5,562,589","5,953,756","5,915,844","4,870,257","5,797,731"
106,EASYJET PLC,51102,"3,854,000","4,258,000","4,527,000","4,686,000","4,669,000","5,047,000","5,898,000","6,385,000","3,009,000","1,458,000"
107,VODAFONE LIMITED,33200,"5,364,200","5,062,500","6,969,200","6,294,200","6,183,500","5,843,900","6,253,600","5,512,900","5,657,600","5,384,000"
108,TELEFONICA UK LIMITED,61200,"5,609,000","5,535,000","5,485,000","5,393,000","5,241,000","5,471,000","5,742,000","5,976,000","5,718,000","5,485,000"
109,KINGSPAN GROUP PUBLIC LIMITED COMPANY,35230,"1,361,806","1,499,265","1,471,109","2,038,181","2,663,525","3,255,855","3,943,537","3,988,898","4,184,205","5,477,523"
110,SCOTTISH POWER LIMITED,70100,"7,805,900","8,230,700","7,107,400","6,590,400","5,422,500","5,239,100","4,995,400","5,124,500","5,164,000","5,349,700"
111,BARRATT DEVELOPMENTS P L C,41201,"2,323,400","2,606,200","3,157,000","3,759,500","4,235,200","4,650,200","4,874,800","4,763,100","3,419,200","4,811,700"
112,MARTIN-BROWER UK LTD,49410,"891,017","954,683","987,820","1,039,783","1,115,284","2,239,145","4,906,362","5,233,352","4,430,333","5,267,250"
113,BDW TRADING LIMITED,41201,"2,125,095","2,432,797","2,944,429","3,439,302","3,932,595","4,375,382","4,544,382","4,478,707","3,271,983","4,741,476"
114,SHELL U.K. LIMITED,6100,"9,070,000","7,905,000","6,713,000","4,600,000","4,449,000","5,344,000","6,606,000","6,142,000","3,461,000","5,101,000"
115,INTEL CORPORATION (UK) LIMITED,70100,"4,113,341","3,947,537","3,692,365","3,632,254","4,506,714","4,330,943","5,231,788","5,105,708","4,568,759","5,066,575"
116,TRAVIS PERKINS PLC,47789,"4,844,900","5,148,700","5,580,700","5,941,600","6,217,200","6,433,100","6,740,500","6,955,700","6,157,500","4,586,700"
117,DELOITTE LLP,69201,"2,329,000","2,515,000","2,550,000","2,827,000","3,140,000","3,503,000","2,201,000","2,426,000","2,627,000","2,713,000"
118,TUI UK LIMITED,79110,"3,572,000","3,881,000","3,945,000","4,232,000","4,428,000","5,000,000","5,177,000","5,014,000","1,640,000","657,000"
119,ANTOFAGASTA PLC,8990,"4,146,478","3,605,385","3,392,804","2,299,397","2,935,403","3,512,350","3,709,326","3,741,709","3,754,154","5,518,691"
120,FRASERS GROUP PLC,70100,"1,835,756","2,185,580","2,705,958","2,832,560","2,904,325","3,245,300","3,359,500","3,701,900","3,957,400","3,625,300"
121,CURRYS GROUP LIMITED,47540,"3,743,700","3,997,900","4,078,300","4,314,000","4,237,900","4,345,700","4,344,000","4,387,100","4,453,500","4,764,000"
122,MOTABILITY OPERATIONS LIMITED,64910,"1,773,307","1,867,182","1,964,873","2,988,026","4,179,155","4,256,595","4,178,600","4,307,500","4,102,100","4,490,600"
123,IMPERIAL TOBACCO LIMITED,46350,"5,420,000","5,025,000","4,918,000","4,741,000","4,617,000","4,486,000","4,485,000","4,228,000","4,507,000","5,084,000"
124,ARNOLD CLARK AUTOMOBILES LIMITED,45111,"2,484,080","2,918,887","3,265,412","3,353,519","3,662,455","3,931,414","4,236,700","4,463,100","3,798,200","4,741,200"
125,MOTABILITY OPERATIONS GROUP PLC,77110,"3,126,300","3,471,100","3,802,900","3,920,000","4,151,800","4,221,700","4,146,700","4,271,100","4,064,100","4,449,500"
126,VMWARE INTERNATIONAL UNLIMITED COMPANY,70100,"1,460,927","2,063,568","2,197,882","2,020,257","2,605,528",n.a.,"3,209,946","3,223,411","3,642,461","4,750,866"
127,BMW (UK) LIMITED,45111,"3,781,730","4,164,873","4,694,854","5,475,012","5,822,266","5,659,035","5,575,469","5,666,869","3,941,691","4,682,659"
128,EUROPEAN METAL RECYCLING LIMITED,38320,"3,184,246","2,810,000","2,522,000","2,020,000","2,221,000","3,288,000","3,358,000","2,764,000","2,422,000","4,681,000"
129,DRAX POWER LIMITED,35110,"1,630,029","1,779,647","2,449,462","2,638,303","2,490,700","2,719,718","3,320,616","3,780,700","3,605,300","4,668,000"
130,PRAX LINDSEY OIL REFINERY LIMITED,19201,"16,348","3,748,422","4,389,914","2,664,526","2,194,355","2,703,437","3,295,913","2,827,495",n.a.,"3,024,356"
131,NEXT PLC,70100,"3,441,100","3,562,800","3,740,000","3,999,800","4,176,900","4,097,300","4,055,500","4,167,400","4,266,200","3,534,400"
132,FIRSTGROUP PLC,49319,"6,678,700","6,900,900","6,717,400","6,050,700","5,218,100","5,653,300","6,398,400","7,126,900","4,642,800","4,641,800"
133,VISA EUROPE LIMITED,64999,"884,573","1,001,807","1,011,063","1,160,612","1,372,164","2,203,609","2,536,336","2,950,763","2,772,512","2,966,194"
134,DYSON TECHNOLOGY LIMITED,72190,"137,000","190,800","215,300","259,600","351,100","3,132,300","3,904,800","4,760,400","4,876,500","4,566,600"
135,SERCO GROUP PLC,70229,"4,913,000","4,288,100","3,955,000","3,177,000","3,011,000","2,953,600","2,836,800","3,248,400","3,884,800","4,424,600"
136,JOHN WOOD GROUP PLC,70100,"4,196,432","3,851,778","4,216,058","3,387,252","3,339,763","3,989,351","7,848,276","7,454,326","5,536,339","4,728,576"
137,HARBOUR ENERGY PLC,6100,"866,626","906,237","1,044,956","722,888","797,050","771,410","1,095,219","1,194,377","694,869","2,570,035"
138,PRICEWATERHOUSECOOPERS LLP,69201,"2,621,000","2,689,000","2,814,000","3,083,000","3,437,000","3,145,000","3,280,000","3,649,000","3,759,000","3,955,000"
139,RWE GENERATION UK PLC,35110,"665,000","566,000","559,000","2,223,000","2,244,000","1,780,000","1,880,000","1,789,000","1,177,000","4,433,000"
140,TAYLOR WIMPEY PLC,41202,"2,019,000","2,295,500","2,686,100","3,139,800","3,676,200","3,965,200","4,082,000","4,341,300","2,790,200","4,284,900"
141,J.C.B. SERVICE,28922,"2,712,000","2,684,000","2,514,500","2,343,100","2,620,900","3,353,900","4,118,800","4,158,700","3,141,800","4,393,500"
142,SMITH & NEPHEW PLC,21100,"2,545,000","2,627,000","2,961,000","3,139,000","3,784,000","3,524,000","3,843,000","3,872,000","3,337,000","3,850,000"
143,ENTAIN PLC,92000,n.a.,"140,106","174,454","173,955","704,337","796,604","2,935,200","3,600,500","3,561,600","3,830,000"
144,BOOKER LIMITED,46900,"3,735,900","3,756,100","3,809,900","3,894,400","3,767,000","3,700,500","3,844,100","3,581,300","4,056,500","3,889,300"
145,AMAZON DATA SERVICES IRELAND LIMITED,62090,"164,206","243,567","342,541","469,698","671,666","986,061","1,494,292","2,124,409","2,372,036","3,103,026"
146,TAYLOR WIMPEY UK LIMITED,41100,"1,946,860","2,273,275","2,630,539","3,082,043","3,566,543","3,857,825","3,979,800","4,218,800","2,726,500","4,207,000"
147,BP OIL UK LIMITED,19201,"5,260,000","4,430,000","3,876,000","3,107,000","3,030,000","3,491,000","3,836,000","3,892,000","2,713,000","4,190,000"
148,ARGOS LIMITED,47599,"3,749,910","3,752,634","3,872,446","3,919,176","3,930,104","4,285,775","4,162,557","4,240,797","4,201,625","4,676,925"
149,AIRBUS OPERATIONS LIMITED,30300,"3,198,000","3,800,000","3,932,000","3,937,000","4,590,000","5,254,000","5,018,000","5,525,000","2,925,000","3,256,000"
150,BABCOCK INTERNATIONAL GROUP PLC,84220,"2,848,400","3,029,400","3,321,000","3,996,600","4,158,400","4,547,100","4,659,600","4,474,800","4,449,500","4,182,700"
151,RYANAIR HOLDINGS PUBLIC LIMITED COMPANY,82990,"3,662,659","4,135,671","4,172,686","4,110,232","5,166,290","5,707,423","6,265,872","6,598,772","7,529,553","1,393,472"
152,ICON PUBLIC LIMITED COMPANY,64,"1,000,329","1,353,401","1,070,211","993,278","1,232,732","1,380,918","1,971,375","2,124,270","2,612,536","4,055,601"
153,LOOKERS PLC,45111,"2,056,600","2,464,500","3,042,900","3,649,100","4,281,700","4,696,300","4,879,500","4,787,200","3,699,900","4,050,700"
154,B&Q LIMITED,47599,"3,710,400","3,637,900","3,589,500","3,664,000","3,704,000","3,582,800","3,386,000","3,287,300","3,180,900","3,594,500"
155,SCOTTISHPOWER ENERGY RETAIL LIMITED,35120,"3,818,200","4,133,300","3,956,000","3,812,800","3,712,000","3,770,100","3,883,600","3,875,600","3,693,200","4,009,400"
156,ASOS PLC,47910,"238,023","769,396","975,470","1,150,788","1,444,900","1,923,600","2,417,300","2,733,500","3,263,500","3,910,500"
157,B & M RETAIL LIMITED,47190,"935,229",n.a.,"1,509,132","1,526,181","1,902,557","2,252,265","2,629,145","2,801,499","3,148,497","4,085,024"
158,ASOS.COM LIMITED,47910,"237,723","768,499","974,738","1,143,841","1,446,535","1,921,627","2,415,288","2,732,001","3,262,022","3,909,322"
159,MITIE GROUP PLC,86900,"2,002,500","2,120,500","2,221,100","2,273,800","2,231,900","2,126,300","2,203,700","2,221,400","2,173,700","2,559,500"
160,EXPERIAN PLC,82990,"2,808,000","3,105,000","2,903,000","3,240,000","3,164,000","3,459,000","3,324,000","3,729,000","4,158,000","3,893,000"
161,PEARSON PLC,58190,"5,059,000","5,069,000","4,874,000","4,468,000","4,552,000","4,513,000","4,129,000","3,869,000","3,397,000","3,428,000"
162,DENTSU INTERNATIONAL LIMITED,82990,"1,272,100","1,322,500","1,502,000","1,972,200","2,586,600","3,326,100","3,829,800","4,136,400","3,633,600","3,832,400"
163,MUSGRAVE GROUP PUBLIC LIMITED COMPANY,70100,"4,119,655","3,909,265","3,607,064",n.a.,"3,197,173","3,295,887","3,472,657","3,379,746",n.a.,"4,101,911"
164,PERSIMMON PUBLIC LIMITED COMPANY,41100,"1,721,400","2,085,900","2,573,900","2,901,700","3,136,800","3,422,300","3,737,600","3,649,400","3,328,300","3,610,500"
